track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Porque?,Reginaldo Rossi,spotify:track:28KC2wl7jDv6Ms1Uc0OMpm,0.669,0.547,1,-9.873,0,0.0576,0.353,0,0.0515,0.73,131.073,141067,4,28.79763,6,0
Free Jazz,Maria Teresa Luciani,spotify:track:0zagn8PNnM7pM8pz1gXOAD,0.291,0.3,1,-14.054,0,0.0326,0.905,0.492,0.118,0.039,75.619,228224,4,44.10303,9,0
Reject of Society,Crass,spotify:track:18eNASEiuAhO2ML5LBIoG4,0.355,0.968,7,-4.687,1,0.189,0.0504,0,0.13,0.768,181.291,66800,3,25.23004,6,0
Yeah !,The Jets,spotify:track:1UlJzHc8E5EprQFJxjSyPL,0.598,0.891,6,-11.904,1,0.0552,0.0183,0.836,0.579,0.826,144.383,155395,4,55.62066,7,0
Gotta Find A Way,The Moments,spotify:track:1Jtlirju8tUXTtvyZJAN5v,0.44,0.376,5,-10.939,1,0.0482,0.348,0,0.0815,0.358,130.438,218333,4,34.90979,12,1
What Shall We Do When We All Go Out?,Mike Seeger,spotify:track:3mjhB6xOe5d8HfWbUFApHR,0.618,0.167,7,-16.755,1,0.0451,0.828,3.29e-06,0.197,0.651,175.951,132667,4,58.27935,7,0
Beautiful Sunday,Daniel Boone,spotify:track:6DqNZJ4hhBYd8qj9WbpSTJ,0.676,0.463,9,-13.155,1,0.0306,0.309,0,0.288,0.91,121.923,182133,4,36.28697,7,1
The Man With The Child In His Eyes,Kate Bush,spotify:track:4xjVfArXNQRxAvsUpjmfMt,0.249,0.261,0,-10.592,1,0.0334,0.962,0.00154,0.136,0.195,90.007,158693,4,33.62341,8,1
Psychedelic Shack,The Temptations,spotify:track:5kx4xMErn45NZvEChKiqdo,0.663,0.822,5,-13.119,0,0.059,0.199,8.69e-06,0.0626,0.818,108.94,230293,4,60.05568,8,1
Tell It Like It Is,Andy Williams,spotify:track:7MYHtpI1ebzt1lkAxgNDEZ,0.522,0.44,6,-13.258,0,0.035,0.434,0,0.218,0.295,97.475,159760,3,38.69467,7,1
Help,The Damned,spotify:track:4A7Ht7viwPId0DdryrkKyj,0.423,0.95,2,-10.638,1,0.112,0.0917,0,0.376,0.306,168.217,105627,4,34.97127,5,0
Listen Here,Brian Auger & The Trinity,spotify:track:6F8oB8ZuTr4PcnINPs9G38,0.62,0.779,0,-10.159,1,0.0407,0.00454,0.86,0.0952,0.96,134.501,568827,4,22.63804,19,1
Long Live Rock,The Who,spotify:track:1Pq1ySROrhPJ1ljTcZPy83,0.465,0.84,2,-6.608,1,0.0489,0.327,0.00113,0.222,0.579,129.436,236573,4,30.00396,11,1
Kaloaloa,Hui Ohana,spotify:track:4ZETdqBNpKyFLvxZHFDEAR,0.546,0.366,9,-11.837,1,0.0346,0.933,0.695,0.105,0.79,150.301,144760,4,37.99756,9,0
Águas De Marco,Elis Regina,spotify:track:33k6iSq1SIVBOaXE898Jv1,0.611,0.322,3,-13.666,1,0.287,0.802,4.38e-05,0.121,0.857,150.686,185773,4,42.88205,10,0
Hot Line,The Sylvers,spotify:track:6SrvyfmAxkLt9CULhf9a49,0.831,0.967,2,-3.207,1,0.0556,0.24,1.03e-06,0.109,0.966,132.824,183320,4,22.0145,10,1
Willie And The Hand Jive,Eric Clapton,spotify:track:7aDdRtuCpHGdz7OZFvgbHJ,0.821,0.259,9,-17.039,1,0.402,0.248,0.0162,0.0847,0.737,90.915,209853,4,43.44884,11,1
Grooving Out on Life,Dennis Brown,spotify:track:6oTjzWWOQhOZS0vbEPWYYj,0.757,0.293,1,-16.331,1,0.0565,0.176,0.622,0.172,0.572,90.816,195493,4,17.80812,8,0
Greenwood Mississippi,Little Richard,spotify:track:4atK2GQWKaAZs8wL0PVnoH,0.727,0.611,7,-14.611,0,0.0372,0.125,2.98e-05,0.0541,0.951,127.357,212520,4,60.15212,7,1
Don't Hide Your Love,Cher,spotify:track:6Re2KIwOFYOzZtH02fwPd0,0.495,0.34,9,-14.689,1,0.0394,0.463,0,0.146,0.751,149.364,171573,4,29.10788,10,1
"Yester-Me, Yester-You, Yesterday",Stevie Wonder,spotify:track:0l9RGwc48deJ6j61KXAAvs,0.604,0.357,6,-11.419,1,0.0269,0.0311,0,0.0927,0.638,100.721,185293,4,21.60974,9,1
The Entertainer - The Sting/Soundtrack Version/Orchestra Version,Marvin Hamlisch,spotify:track:3qq7parQQaohn9N7qKrKtE,0.615,0.386,0,-11.662,1,0.0904,0.873,0.778,0.0887,0.365,156.85,183360,4,49.81374,7,0
Miss You,The Rolling Stones,spotify:track:3hJLKtTpgct9Y9wKww0BiR,0.795,0.71,9,-4.746,0,0.0392,0.443,0.0215,0.344,0.845,109.689,288667,4,45.45196,15,1
Funky Man,Kool & The Gang,spotify:track:1cYN6EavktZnJDdwlasTEO,0.699,0.725,2,-9.315,1,0.18,0.0862,0.0153,0.0584,0.741,109.862,189413,4,53.87844,8,1
Make It With You,The Whispers,spotify:track:6qg57tPK0DrfiiUnhsoCEu,0.747,0.705,0,-11.036,1,0.0541,0.00643,3.9e-05,0.0412,0.822,116.184,303000,4,27.72172,14,1
Lonesome River (feat. Ricky Skaggs & Keith Whitley),Ralph Stanley,spotify:track:6qrASXhVGyH4CnQXrfZzin,0.573,0.305,2,-13.816,1,0.0331,0.676,1.57e-06,0.132,0.431,94.349,157667,1,19.41836,9,0
This Old Man,Purple Reign,spotify:track:4UidIHIPqESo40EEuXck6v,0.659,0.717,0,-11.55,1,0.0548,0.237,0.00735,0.0876,0.879,122.309,161784,4,31.89382,8,1
Miss America,Mark Lindsay,spotify:track:5HYrPsCxp8DOxeCMobRRkK,0.238,0.384,8,-13.17,0,0.0366,0.695,0,0.327,0.333,176.981,212573,4,34.3477,8,1
Ain't That Loving You (For More Reasons Than One),Luther Ingram,spotify:track:49IQpipnAdKebfTwJRJrtM,0.536,0.544,8,-7.316,1,0.0571,0.159,0,0.057,0.398,123.841,250973,4,35.46591,13,1
Hot Number,Foxy,spotify:track:0aos1cY4zQASbxdyzK5oNT,0.838,0.89,9,-3.561,1,0.0907,0.216,0.101,0.0674,0.976,140.118,242616,4,26.69008,11,1
Slow Ride,Foghat,spotify:track:4MYb7NWLwXNDB7bYs3HeX8,0.493,0.586,2,-13.916,1,0.046,0.0202,0.00106,0.102,0.656,113.618,232533,4,20.22118,10,1
"Ghashiram Kotwal, Act 2",Bhaskar Chandavarkar,spotify:track:2xpGSHKXtXokcdumUzhulw,0.526,0.431,8,-10.522,1,0.273,0.719,0,0.34,0.431,124.4,1462413,4,51.40126,51,0
Sing A Song For Freedom,Frijid Pink,spotify:track:0OaGuxUl5arPeeQOtixZ0j,0.56,0.529,2,-11.598,1,0.0527,0.659,8.28e-06,0.172,0.859,168.689,179760,4,35.17276,10,1
Rock Steady,Aretha Franklin,spotify:track:7rvGZDlfqCjY9EWEUg3Xs6,0.749,0.752,7,-10.3,1,0.126,0.0108,0.0954,0.235,0.887,104.7,193573,4,44.2073,7,1
Early Autumn,Woody Herman & His Orchestra,spotify:track:7Hw4pdh2wUrWOyWumF1Ngd,0.464,0.143,10,-16.168,0,0.032,0.916,0.699,0.0999,0.128,66.846,193560,4,78.33597,7,0
Rumour Has It,Donna Summer,spotify:track:0VNF64BVpiv284gQZQz8N8,0.903,0.714,2,-12.426,1,0.0431,0.0109,0.000187,0.0745,0.979,130.669,294104,4,33.73541,16,1
Blue Bayou,Linda Ronstadt,spotify:track:3zxklD2EGecZre9MjEEvIU,0.732,0.161,11,-12.817,1,0.0306,0.739,0.000379,0.105,0.5,95.21,239400,4,31.84912,12,1
Nights On Broadway,Bee Gees,spotify:track:4JjcCdm0RSPuvQWnZyrNkm,0.573,0.641,5,-9.196,1,0.0443,0.235,0.00414,0.859,0.613,88.862,271373,4,41.26383,12,1
Search and Destroy - Iggy Pop Mix,The Stooges,spotify:track:00sydAz6PeOxYzwG1dRIPi,0.235,0.977,6,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208133,4,19.04955,11,0
Lady Eleanor,Lindisfarne,spotify:track:7Aw5qOxD2UV27vqgyg89C4,0.498,0.336,11,-13.815,0,0.0379,0.295,3.44e-05,0.0794,0.346,105.447,255427,4,81.24507,13,1
Rock And Roll en la Plaza del Pueblo,Tequila,spotify:track:5fCYRuYxc1ox7yWKcKD6tf,0.423,0.909,7,-2.438,1,0.0801,0.00451,1.71e-05,0.279,0.65,151.643,180267,4,25.8411,10,0
Hooked On A Feeling,Blue Swede,spotify:track:6Ac4NVYYl2U73QiTt11ZKd,0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208,172867,4,54.952,6,1
"Pinball Wizard/See Me, Feel Me",The New Seekers,spotify:track:561H1vi4xYPD0uQ5EOPrch,0.475,0.468,6,-11.869,1,0.0427,0.229,1.83e-06,0.536,0.542,130.239,183667,4,43.45311,8,1
Do What You Wanna Do,Five Flights Up,spotify:track:23jlbDsVtErIax2XSaZDHW,0.555,0.377,1,-11.634,1,0.0278,0.6,0,0.147,0.415,75.822,153160,4,28.68919,8,1
Right Down The Line,Gerry Rafferty,spotify:track:2Xb6wJYGi0QXwURw5WWvI5,0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226,267773,4,56.22086,10,1
Macho Man,Village People,spotify:track:22kv2NoeaD7qhTgShfZjIv,0.745,0.593,5,-12.33,1,0.0439,0.0523,0,0.582,0.888,132.897,314800,4,44.76883,12,1
I'd Really Love To See You Tonight,England Dan & John Ford Coley,spotify:track:2r008pcfVYc0zgQvSRqUJE,0.62,0.556,5,-12.044,1,0.0336,0.184,0,0.301,0.592,119.172,159107,4,34.3009,9,1
Someday Baby Blues,Sleepy John Estes,spotify:track:1Dsu92nsujtD0PZBk4m7uQ,0.616,0.286,7,-12.185,1,0.159,0.843,2.16e-05,0.107,0.597,105.091,147080,4,38.79982,7,0
How Long,Ace,spotify:track:4AjKVyNUMdUveKK5OH1OJD,0.717,0.406,0,-13.954,0,0.0305,0.587,0.103,0.0869,0.703,123.213,204227,4,30.59682,9,1
I Am Somebody,Jimmy James & The Vagabonds,spotify:track:2usj6EGRtG2fIo646SOG1h,0.838,0.548,9,-8.239,1,0.0507,0.0025,0.033,0.0884,0.741,121.773,305800,4,54.59267,12,1
Can The Can,Suzi Quatro,spotify:track:6K0kK40E7PA2i9LsGmVCfK,0.646,0.831,10,-6.011,0,0.16,0.017,0.91,0.422,0.593,133.431,214400,4,69.23854,9,1
Problem Child,The Damned,spotify:track:1KMl2CDfYirS98Yx6u242K,0.61,0.854,1,-8.857,0,0.127,0.258,0,0.208,0.667,143.806,132133,4,21.32491,8,0
Bourgeois Blues,Lead Belly,spotify:track:6ieR5a93zbd5O9MjdSNAy4,0.505,0.122,9,-12.704,1,0.0783,0.995,0.0189,0.123,0.55,73.253,201574,4,30.31308,8,0
That's Where The Happy People Go,The Trammps,spotify:track:4JuzaVgrM4qNz90qsLGigX,0.696,0.713,5,-13.814,1,0.0504,0.0491,0.015,0.299,0.395,123.068,474267,4,71.2403,14,1
Light Manufacturing,Tony Kinsey,spotify:track:5Kmu05SkU6m34mtTuruuVO,0.666,0.328,5,-19.704,1,0.034,0.836,0.905,0.106,0.535,120.757,170587,4,50.78793,8,0
Walk On,Neil Young,spotify:track:1MF5iQOhiz11mhehiqjPMN,0.415,0.463,9,-9.339,1,0.0355,0.657,1.57e-06,0.159,0.665,171.608,162120,4,55.29131,8,1
We're On The Right Track,South Shore Commission,spotify:track:3OgGwqxevY650JJL5CMlXF,0.656,0.823,7,-9.809,1,0.0792,0.0434,1.43e-05,0.666,0.602,120.6,292000,4,74.5337,14,1
Wanderlust,Krisma,spotify:track:11hosn7LygGEJUv2q69qLd,0.426,0.936,10,-2.883,0,0.107,0.208,0,0.409,0.508,87.871,133947,4,67.84394,5,0
7-6-5-4-3-2-1 (Blow Your Whistle),Gary Toms Empire,spotify:track:157ESNUvJI8NeHjV9hcDEd,0.717,0.695,1,-9.941,1,0.0972,0.0148,5.51e-05,0.132,0.693,116.39,306973,4,118.28767,11,1
Sing For The Day,Styx,spotify:track:2tRdlnrEb9OwGDUuRDJiXB,0.247,0.46,2,-13.513,1,0.0353,0.0867,0,0.0858,0.401,67.63,301200,4,42.32824,13,1
Flight Over Rio,Al Di Meola,spotify:track:2BiueR07VGUbxGTjp9q9fA,0.328,0.698,1,-11.7,0,0.0465,0.151,0.188,0.0671,0.423,149.919,436600,4,29.44024,15,0
After Midnight,Maggie Bell,spotify:track:1pMrYHgGrE9BjBWKpKKeQq,0.636,0.833,2,-7.231,1,0.0323,0.274,0.000175,0.0852,0.879,94.604,158160,4,52.91493,8,1
One Way Or Another,Blondie,spotify:track:59CLe8stbcx4XYBWdsfbwK,0.442,0.922,2,-5.086,1,0.0655,0.0532,3.86e-06,0.0768,0.855,162.272,217364,4,23.80629,10,1
¿A Dónde Van?,Silvio Rodríguez,spotify:track:3MD5gSg3AsjmuBtBO67nNN,0.606,0.0976,2,-17.754,1,0.0473,0.949,0.000773,0.103,0.499,122.09,274835,4,28.95129,12,0
We're All Alone,Rita Coolidge,spotify:track:2QDnRMFfnes9DUWc6HgixI,0.332,0.429,7,-8.376,1,0.0287,0.356,3.18e-05,0.0619,0.239,128.073,220520,4,26.55971,10,1
Pai e Mãe,Gilberto Gil,spotify:track:59w0sJFmdFD9oAfMm5WRT3,0.449,0.303,2,-11.19,1,0.0293,0.76,4.69e-06,0.396,0.615,77.325,234480,4,77.5081,10,0
Crossing No. 9,Norman Blake,spotify:track:7nyhyi7BSzwtX0YIqIahrb,0.494,0.321,6,-13.868,1,0.0289,0.77,0.303,0.239,0.702,97.968,167000,4,43.25513,8,0
Love Me Again,Rita Coolidge,spotify:track:7vYpMAhNCvBFNWXTLQXgtN,0.529,0.326,8,-10.462,1,0.0317,0.604,3.14e-05,0.129,0.133,141.21,217373,4,33.54182,12,1
"Money, Money, Money",ABBA,spotify:track:29FNeqjOV2kPWGS55qhtGB,0.756,0.741,9,-6.426,0,0.0364,0.43,0.00113,0.0807,0.691,120.445,186787,4,39.84122,7,1
Steal Away,Johnnie Taylor,spotify:track:6olcjo8bBSkin9fJtFj7hB,0.523,0.302,7,-17.6,0,0.0631,0.214,0,0.104,0.837,165.091,208133,4,29.85357,10,1
Rainbow,Francis Lai,spotify:track:1POcc8tOWHJoZwI4Eu7XQ5,0.683,0.575,7,-14.056,1,0.038,0.395,0.0223,0.0587,0.933,94.418,275067,4,63.86293,12,0
Paper Roses,Marie Osmond,spotify:track:00oIqmk1eRn9D2y8BzNLS1,0.359,0.504,8,-10.555,1,0.0349,0.272,1.52e-05,0.332,0.73,114.172,158973,4,35.70445,10,1
Bridget The Midget (The Queen Of The Blues),Ray Stevens,spotify:track:3Q3jr0TmGMEjFieUO0hBOw,0.341,0.703,5,-15.473,0,0.13,0.611,0.000308,0.905,0.725,181.658,219240,4,48.47382,11,1
