track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Jealous Kind Of Fella,Garland Green,spotify:track:1dtKN6wwlolkM8XZy2y9C1,0.417,0.62,3,-7.727,1,0.0403,0.49,0,0.0779,0.845,185.655,173533,3,32.94975,9,1
Initials B.B.,Serge Gainsbourg,spotify:track:5hjsmSnUefdUqzsDogisiX,0.498,0.505,3,-12.475,1,0.0337,0.018,0.107,0.176,0.797,101.801,213613,4,48.8251,10,0
Melody Twist,Lord Melody,spotify:track:6uk8tI6pwxxdVTNlNOJeJh,0.657,0.649,5,-13.392,1,0.038,0.846,4.42e-06,0.119,0.908,115.94,223960,4,37.22663,12,0
Mi Bomba Sonó,Celia Cruz,spotify:track:7aNjMJ05FvUXACPWZ7yJmv,0.59,0.545,7,-12.058,0,0.104,0.706,0.0246,0.061,0.967,105.592,157907,4,24.75484,8,0
Uravu Solla,P. Susheela,spotify:track:1rQ0clvgkzWr001POOPJWx,0.515,0.765,11,-3.515,0,0.124,0.857,0.000872,0.213,0.906,114.617,245600,4,21.79874,14,0
Beat n. 3,Ennio Morricone,spotify:track:32VBSoD2vcoIOiPEvAfFXU,0.697,0.673,0,-10.573,1,0.0266,0.714,0.919,0.122,0.778,112.117,167667,4,65.48604,7,0
Samba De Uma Nota So (One Note Samba),Antônio Carlos Jobim,spotify:track:62eoocmGk59EMfuRcLBvUL,0.662,0.272,0,-18.883,1,0.0313,0.36,0.228,0.0963,0.591,143.507,134360,4,47.82155,7,0
Happy Days,Marv Johnson,spotify:track:0ecGwZA1ReAq4Mn3ZInaT4,0.72,0.624,5,-9.086,0,0.0473,0.795,0,0.488,0.887,119.999,160040,4,30.42891,8,1
Carolina - Remastered 2006,Caetano Veloso,spotify:track:15gNqKkZN9Mq9AvnRqWJKb,0.545,0.22,2,-15.079,0,0.0828,0.582,0.239,0.269,0.386,118.223,158413,4,47.08099,6,0
I Can Hear Music,The Beach Boys,spotify:track:1hcMfYTsRTC4hIKbfosxjz,0.511,0.603,2,-7.637,1,0.028,0.0385,1.67e-06,0.142,0.685,128.336,157293,4,43.36534,9,1
"The Aftermath (From ""Stagecoach"")",Jerry Goldsmith,spotify:track:6Rt6SJijLoLxTYwGX73JMQ,0.491,0.0675,10,-17.096,1,0.0606,0.826,0.519,0.134,0.122,124.986,177387,4,35.90329,7,0
Ride Away,Roy Orbison,spotify:track:1nxSCulSg5AtmExqgHPPC0,0.52,0.411,9,-12.411,1,0.0315,0.786,0.0012,0.146,0.35,120.29,207573,4,37.54527,9,1
Caboclo Nordestino,Luiz Gonzaga,spotify:track:1IFkSZaIT1j6O4GO6N3Pqd,0.717,0.565,2,-8.606,0,0.0283,0.451,0,0.108,0.961,100.757,134507,4,49.41165,6,0
P.T. 109,Jimmy Dean,spotify:track:3vfNUZeVUiwWXwsEXjagqL,0.746,0.666,2,-10.408,1,0.146,0.543,0,0.0488,0.84,94.024,192427,4,78.59848,5,1
Bye Bye Baby,Mary Wells,spotify:track:4HnfN3T1gJ88zmHiafIYcW,0.598,0.448,4,-14.978,0,0.0399,0.832,0.471,0.588,0.832,124.875,169133,4,57.17076,8,1
A Festa dos Seus 15 Anos,Leño,spotify:track:6ON2VernjxCS5z6lHdoGFl,0.521,0.396,5,-12.299,1,0.0463,0.576,0.000893,0.462,0.599,82.628,179600,4,48.36482,8,0
My Empty Arms,Jackie Wilson,spotify:track:7CHmNiReghVLKbD032HHwz,0.356,0.45,6,-6.677,1,0.03,0.924,0.000206,0.128,0.313,74.4,172453,4,18.25243,13,1
Alfômega - Remastered 2006,Caetano Veloso,spotify:track:4DEodNc5zttV2UGiKMqtGw,0.493,0.666,11,-8.209,1,0.0967,0.041,4.42e-05,0.351,0.519,123.446,357747,4,90.21302,14,0
"Parsifal: ""Wehevolles Erbe, dem ich verfallen""",Staatskapelle Berlin,spotify:track:1NI44QQk2rKTSOqrm6eT0Q,0.147,0.246,1,-16.997,1,0.0504,0.964,0.115,0.113,0.0387,74.94,464533,4,76.04885,18,0
Let The Good Times Roll,Shirley & Lee,spotify:track:2ePDfIXoP2HmC1hfsujb2J,0.502,0.445,1,-9.562,1,0.0688,0.481,0,0.0823,0.939,140.988,145653,4,18.90465,6,1
I'm Here To Get My Baby Out Of Jail,The Everly Brothers,spotify:track:1E5cZzKmVgLLJcLI6HPbn4,0.48,0.225,3,-15.402,1,0.031,0.78,0,0.0877,0.58,128.017,217907,4,25.38117,13,1
"Yester-Me, Yester-You, Yesterday",Stevie Wonder,spotify:track:0l9RGwc48deJ6j61KXAAvs,0.604,0.357,6,-11.419,1,0.0269,0.0311,0,0.0927,0.638,100.721,185293,4,21.60974,9,1
"Dominica Prima Adventus. Alleluia, Ostende: VIII Mode",Traditional,spotify:track:6ZUVIQacko5RG3R4AKH9vC,0.213,0.0581,8,-22.425,0,0.0487,0.982,0.69,0.167,0.0395,84.048,175453,4,60.08926,6,0
Montague Terrace (In Blue),Scott Walker,spotify:track:0X7N5udP0MTvfsikLHfHrR,0.427,0.14,9,-19.857,0,0.034,0.549,1.03e-06,0.0443,0.293,137.787,207293,4,70.51508,8,0
"Madama Butterfly, Act II: Or vienmi ad adornar (Suzuki, Butterfly)",Giacomo Puccini,spotify:track:3L1N3o2OiYgcyJUovwPl0p,0.26,0.0248,4,-24.431,0,0.0421,0.979,0.000378,0.228,0.0371,105.846,335867,4,49.09065,15,0
Mother-In-Law,Ernie K-Doe,spotify:track:39h384i9hij2H9Qtl9XUuu,0.81,0.524,7,-9.77,0,0.0339,0.77,1.03e-05,0.161,0.949,130.214,153093,4,32.41693,8,1
Keep On Trying,Bobby Vee,spotify:track:4mmoOJwXcf0nEH0Z2wivAV,0.498,0.527,5,-9.263,1,0.0298,0.0789,0,0.571,0.868,123.042,158267,4,31.82922,9,1
Can't Buy Me Love,The Beatles,spotify:track:3EQBI1Fiv7z3QfqTeb9Tqk,0.844,0.299,0,-12.645,1,0.0621,0.848,0.844,0.102,0.566,102.088,131176,4,20.00939,6,1
Lonely Little Girl,Frank Zappa,spotify:track:395nYO9cxtDIzRq1o4lp3q,0.463,0.463,8,-12.178,1,0.0349,0.616,0.00157,0.584,0.811,109.603,69827,4,21.74699,5,0
Yaaraithaan Nambuvatho,P. Susheela,spotify:track:4rnhIR4I4NMjIngBW7adcF,0.431,0.551,1,-12.732,1,0.0526,0.885,0.875,0.128,0.64,79.14,219240,4,23.24725,13,0
Just Be Sincere,Jackie Wilson,spotify:track:0ydH7amZ8mOIVE2GIfOYx1,0.515,0.699,0,-7.316,0,0.0483,0.657,0,0.154,0.783,111.28,175400,4,34.57855,9,1
Cien Kilos de Barro (100 Pounds of Clay),Enrique Guzman,spotify:track:4EuH5egzbPHEXadXd86uLu,0.528,0.493,0,-12.346,1,0.0298,0.414,0,0.674,0.888,118.575,156507,4,29.90294,8,0
Come Rain Or Come Shine,Ray Charles,spotify:track:2htH7r8oqqEwp3BB6oh2cU,0.357,0.216,3,-12.833,1,0.0343,0.767,4.31e-06,0.531,0.283,119.57,222733,4,37.34774,10,1
Caprice viennois,Fritz Kreisler,spotify:track:2KGzzTDGv5cRSs8tmfzPLB,0.283,0.0811,11,-20.653,1,0.047,0.982,0.771,0.0897,0.0797,88.961,236080,4,20.71075,12,0
Uma Especial Oração (My Special Prayer),Jerry Adriani,spotify:track:2i8ttrZVcTVmMnR2s6F8Ey,0.56,0.821,7,-4.09,1,0.0313,0.0853,0.000215,0.0592,0.793,117.568,148560,4,47.26445,6,0
If You Never Come To Me (Inútil Paisagen),Antônio Carlos Jobim,spotify:track:1Dv7lvKVxBJg9fCWTA7Dt0,0.337,0.172,0,-16.735,1,0.031,0.784,0.000454,0.102,0.106,97.055,131587,4,41.29263,5,0
Ebrio,Gerardo Reyes,spotify:track:09HWxCp7DZmbBJn6Dg1ob8,0.565,0.358,0,-8.442,0,0.0259,0.579,0,0.198,0.535,100.826,155307,4,44.69729,10,0
I Idolize You,Ike & Tina Turner,spotify:track:7DLwLYJH0AJte6XK9ZTmOc,0.743,0.398,2,-8.328,0,0.048,0.808,0,0.106,0.833,118.568,170827,4,28.82001,9,1
Españolito,Joan Manuel Serrat,spotify:track:1QxwjJhroDhlT7BC77Rlbt,0.555,0.658,0,-4.487,1,0.0445,0.164,0,0.0363,0.44,120.911,77907,4,40.76595,4,0
See You In September,The Happenings,spotify:track:2caREKLVN9PbVDe9EPzXjc,0.519,0.422,4,-8.732,1,0.0282,0.864,0,0.332,0.803,128.956,147227,4,30.01333,9,1
Where Did Our Love Go,The Supremes,spotify:track:69RH84na5iUNwrwxpgjC5j,0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,153333,4,21.35312,9,1
Inolvidable,Tito Rodriguez,spotify:track:4WWYBTpa9J6A7RZht1LtzW,0.257,0.378,5,-9.61,1,0.0329,0.739,6.12e-05,0.12,0.385,81.541,193853,4,28.47678,11,0
Hip City - Pt. 2,Jr. Walker & The All Stars,spotify:track:0cduoX64cRfzLvdapbCsBH,0.611,0.686,0,-10.647,0,0.0508,0.126,0.00129,0.38,0.701,147.076,177973,4,97.57327,7,1
