track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Misty Roses,Astrud Gilberto,spotify:track:50RBM1j1Dw7WYmsGsWg9Tm,0.527,0.316,1,-15.769,1,0.031,0.693,0.00699,0.168,0.543,116.211,158840,4,53.89523,6,0
Never Ever,All Saints,spotify:track:5FTz9qQ94PyUHETyAyfYZN,0.738,0.541,1,-5.485,1,0.0311,0.559,0,0.0492,0.309,134.187,387573,4,32.16853,16,1
Soul Sermon,Gregg Karukas,spotify:track:6m24oe3lk1UMxq9zq4iPFi,0.736,0.419,0,-10.662,1,0.03,0.693,0.495,0.0809,0.265,93.982,237267,4,42.05369,9,0
Clarinet Marmalade - Live,Alton Purnell,spotify:track:5FOXuiLI6knVtgMUjWKj6x,0.565,0.594,5,-13.086,1,0.0646,0.655,0.926,0.675,0.763,114.219,375933,4,80.99693,10,0
До смерті і довше - Drum & Base and Rock Remix,Skryabin,spotify:track:6CxyIPTqSPvAPXfrIZczs4,0.513,0.76,4,-10.077,1,0.0355,1.72e-05,0.00339,0.153,0.961,153.166,430653,4,25.57331,20,0
Cuspa Cerveja...,Os Pedrero,spotify:track:6IYGvJanVieBEtJaO4IGfc,0.166,0.985,2,-4.529,1,0.119,0.147,0.179,0.54,0.609,170.045,65667,4,28.13311,4,0
Baby-Baby-Baby,TLC,spotify:track:1zTuB57LYZa7xu7KUH8kF0,0.679,0.597,11,-8.601,0,0.0439,0.0913,0.000673,0.0487,0.9,184.174,315040,4,20.93007,15,1
I Missed The Bus,Kris Kross,spotify:track:793gh4IXh7mQsMBhvcJRlt,0.811,0.634,4,-10.408,0,0.0714,0.00469,0.00943,0.224,0.273,107.915,179160,4,54.7873,9,1
The Comfort Zone,Vanessa Williams,spotify:track:7okbmgA8lRBGl5limZ7LFM,0.528,0.234,3,-15.784,1,0.0283,0.641,0,0.183,0.191,95.911,218733,4,46.33298,10,1
Hardcore Rules,25 Ta Life,spotify:track:75UjNrkncJ1idxVzlxkxLW,0.207,0.989,6,-5.564,1,0.218,0.000118,0.134,0.2,0.323,200.465,80987,4,49.52643,3,0
Black Cat,Janet Jackson,spotify:track:4tYpYYoOI7WDxbCnPninwE,0.705,0.913,4,-7.253,0,0.0484,0.103,0.00111,0.216,0.665,114.959,290573,4,44.28293,12,1
Piedra,Caifanes,spotify:track:3UvB63cZSpGUL3LvAj03dI,0.643,0.816,7,-8.535,1,0.0476,0.0357,7.28e-05,0.218,0.616,115.061,276067,4,31.51525,14,0
Jack Introduces Don't Think Twice,Ramblin' Jack Elliott,spotify:track:2DKaYaAYW957D5zZ7WwLX3,0.567,0.0638,0,-27.025,0,0.897,0.706,0,0.497,0.54,87.712,108867,4,59.29921,5,0
I'll Be Loving You,Collage,spotify:track:0HznAaWAq5FRLnLyKNf9Tv,0.62,0.868,11,-6.805,0,0.0528,0.00591,0,0.248,0.339,133.97,228040,4,45.68575,9,1
Prelude and Story,Tony Kinsey,spotify:track:19yNBPOlv3pLFKZ1zoA6yE,0.295,0.209,5,-13.146,1,0.0348,0.916,0.00154,0.138,0.0786,126.328,362600,4,52.82156,18,0
No Fool No More,En Vogue,spotify:track:1RhaF2Eq1Zg1zR1MIaY9I1,0.53,0.679,2,-5.987,0,0.0523,0.444,0,0.0728,0.338,76.045,257573,4,35.00537,10,1
Universal Heart-Beat,Juliana Hatfield,spotify:track:7Hj5QvOZvdZKtlBuq8nTXE,0.534,0.814,2,-7.978,1,0.0717,0.0359,0.00539,0.721,0.686,127.967,205907,4,53.22886,8,1
Last Goodbye,Kenny Wayne Shepherd,spotify:track:2j9xf567RovYfYPmfDWgvG,0.461,0.695,7,-7.662,1,0.0282,0.0275,0,0.151,0.371,149.346,273600,4,41.53611,8,0
Wade in the Water,Ella Jenkins,spotify:track:7exER11O6jaBmUWhOvWRGh,0.486,0.262,2,-11.864,0,0.0381,0.83,0,0.16,0.329,128.764,244160,4,24.69182,11,0
Connected,Stereo MC's,spotify:track:5t09SnxOR2AelOghumKkXO,0.647,0.798,1,-12.144,0,0.0365,0.0498,0.00221,0.0722,0.706,100.631,314133,4,58.00848,8,1
Transylvanian Concubine (The Manson Mix (Radio Edit))**,Rasputina,spotify:track:2SXswiR0TE3AULlCwvgg5E,0.666,0.765,1,-7.859,0,0.0973,3.86e-05,0.00529,0.81,0.563,103.971,173693,4,32.5386,9,0
"Hey Helmut, wach auf! - Rock Mix",Holger,spotify:track:4TvUQYnEHNV5I5p0xF3lr4,0.48,0.775,7,-5.441,1,0.0545,0.66,7.36e-06,0.102,0.733,89.919,241693,3,49.42707,9,0
Lo Mejor del Rock N' Roll,Expulsados,spotify:track:5nd5ZnTvznukaV2Hcesc09,0.273,0.824,2,-4.981,1,0.0742,0.0153,0.322,0.112,0.777,185.664,153360,4,24.11872,7,0
Every Heartbeat,Amy Grant,spotify:track:55lX3vm1G35mUpawXHK5Te,0.648,0.89,2,-3.834,1,0.0429,0.288,0,0.119,0.808,126.956,213733,4,31.93258,12,1
A Life of Possibilities,Dismemberment Plan,spotify:track:3TKWCQMU7xYEEslFXsj51i,0.709,0.837,7,-7.273,1,0.0779,0.101,0.511,0.114,0.502,125.485,274720,4,40.24415,9,0
Sluttering (May 4th),Jawbreaker,spotify:track:3nJvdMhOmRW4cRLw0NN7qC,0.433,0.983,9,-5.415,1,0.079,0.00338,0.000454,0.228,0.632,158.985,254107,4,44.02017,10,0
Reach For The Sky,Firehouse,spotify:track:4T2CCZX2QjiREym8lZ2G4v,0.562,0.891,1,-8.283,1,0.0361,1.21e-05,0.0588,0.0858,0.524,132.569,286733,4,31.92332,8,1
Decidete,Luis Miguel,spotify:track:49d9r0dPy455AM3VGxB7z4,0.614,0.904,9,-4.811,1,0.0375,0.63,0,0.336,0.772,135.606,183223,4,26.73278,11,0
"Musica ricercata: No. 7, Cantabile, molto legato",György Ligeti,spotify:track:3mWP6hxaJJUwrq3XPrL5Io,0.278,0.00897,10,-35.603,1,0.0328,0.986,0.781,0.0717,0.598,110.174,244120,3,44.81627,14,0
